iter	Passed	Remaining
880	12596	273372
881	12611	273367
882	12625	273349
883	12640	273337
884	12654	273314
885	12668	273299
886	12683	273308
887	12697	273289
888	12712	273283
889	12726	273259
890	12741	273253
891	12755	273232
892	12768	273210
893	12782	273184
894	12799	273230
895	12814	273214
896	12828	273200
897	12842	273184
898	12856	273163
899	12877	273291
900	12891	273270
901	12905	273248
902	12919	273230
903	12933	273210
904	12947	273190
905	12961	273171
906	12976	273156
907	12990	273145
908	13005	273133
909	13019	273115
910	13033	273095
911	13047	273074
912	13061	273055
913	13074	273026
914	13089	273013
915	13104	273010
916	13119	273018
917	13133	272990
918	13149	273023
919	13163	273005
920	13177	272982
921	13191	272966
922	13205	272946
923	13219	272915
924	13233	272898
925	13248	272898
926	13263	272889
927	13277	272873
928	13292	272875
929	13310	272927
930	13324	272911
931	13338	272889
932	13352	272873
933	13367	272867
934	13381	272848
935	13395	272830
936	13409	272806
937	13423	272786
938	13437	272761
939	13451	272745
940	13464	272719
941	13479	272707
942	13493	272685
943	13507	272668
944	13521	272655
945	13536	272642
946	13550	272636
947	13565	272623
948	13579	272602
949	13593	272577
950	13606	272552
951	13621	272536
952	13635	272517
953	13649	272504
954	13662	272472
955	13677	272458
956	13691	272447
957	13706	272436
958	13720	272415
959	13734	272402
960	13748	272377
961	13762	272353
962	13775	272317
963	13788	272283
964	13802	272263
965	13816	272241
966	13830	272215
967	13844	272192
968	13857	272168
969	13871	272145
970	13885	272114
971	13899	272102
972	13913	272085
973	13932	272147
974	13946	272133
975	13959	272100
976	13973	272079
977	13988	272077
978	14002	272046
979	14016	272037
980	14031	272024
981	14046	272036
982	14060	272016
983	14074	271992
984	14088	271980
985	14103	271964
986	14116	271941
987	14131	271925
988	14144	271896
989	14159	271885
990	14173	271864
991	14186	271839
992	14200	271818
993	14214	271794
994	14228	271775
995	14245	271808
996	14259	271797
997	14273	271769
998	14287	271740
999	14300	271712
1000	14315	271715
1001	14329	271697
1002	14343	271675
1003	14358	271659
1004	14372	271645
1005	14386	271626
1006	14400	271604
1007	14414	271589
1008	14428	271566
1009	14442	271545
1010	14456	271533
1011	14470	271508
1012	14484	271484
1013	14498	271472
1014	14512	271446
1015	14526	271428
