"","metric_name","cluster_num","window","overlap","dist","metric_value"
"251","D","3","150","0","dtw_basic",0.00255918106206015
"252","COP","3","150","0","dtw_basic",0.0929921189007842
"253","Sil","4","150","0","dtw_basic",0.368257633459029
"254","SF","4","150","0","dtw_basic",0
"255","CH","4","150","0","dtw_basic",5633.8941266508
"256","DB","4","150","0","dtw_basic",0.773343446704321
"257","DBstar","4","150","0","dtw_basic",1.11148051137047
"258","D","4","150","0","dtw_basic",0.00174469322477464
"259","COP","4","150","0","dtw_basic",0.0936419022904636
"260","Sil","5","150","0","dtw_basic",0.34434301697968
"261","SF","5","150","0","dtw_basic",0
"262","CH","5","150","0","dtw_basic",4593.75243456852
"263","DB","5","150","0","dtw_basic",0.773082390430291
"264","DBstar","5","150","0","dtw_basic",1.20053441010669
"265","D","5","150","0","dtw_basic",0.00238948626045399
"266","COP","5","150","0","dtw_basic",0.0799519945566166
"267","Sil","6","150","0","dtw_basic",0.280579202647794
"268","SF","6","150","0","dtw_basic",0
"269","CH","6","150","0","dtw_basic",3881.66940841021
"270","DB","6","150","0","dtw_basic",1.11144114698026
"271","DBstar","6","150","0","dtw_basic",2.06135339364411
"272","D","6","150","0","dtw_basic",0.00149476831091181
"273","COP","6","150","0","dtw_basic",0.077035246858956
"274","Sil","7","150","0","dtw_basic",0.301945925896926
"275","SF","7","150","0","dtw_basic",0
"276","CH","7","150","0","dtw_basic",4218.61146948902
"277","DB","7","150","0","dtw_basic",0.829103381478184
"278","DBstar","7","150","0","dtw_basic",1.22080806131329
"279","D","7","150","0","dtw_basic",0.00166112956810631
"280","COP","7","150","0","dtw_basic",0.0553472895879963
"281","Sil","3","180","0.25","dtw_basic",0.420194165504266
"282","SF","3","180","0.25","dtw_basic",0
"283","CH","3","180","0.25","dtw_basic",5878.31531026253
"284","DB","3","180","0.25","dtw_basic",0.82800885346112
"285","DBstar","3","180","0.25","dtw_basic",0.870958765482962
"286","D","3","180","0.25","dtw_basic",0.00207738249805245
"287","COP","3","180","0.25","dtw_basic",0.106406598781151
"288","Sil","4","180","0.25","dtw_basic",0.384914068204731
"289","SF","4","180","0.25","dtw_basic",0
"290","CH","4","180","0.25","dtw_basic",4939.74003520116
"291","DB","4","180","0.25","dtw_basic",0.763527648360143
"292","DBstar","4","180","0.25","dtw_basic",0.935031987276704
"293","D","4","180","0.25","dtw_basic",0.00286123032904149
"294","COP","4","180","0.25","dtw_basic",0.0805615002588002
"295","Sil","5","180","0.25","dtw_basic",0.358552169167001
"296","SF","5","180","0.25","dtw_basic",0
"297","CH","5","180","0.25","dtw_basic",4844.97413080803
"298","DB","5","180","0.25","dtw_basic",0.704323567442853
"299","DBstar","5","180","0.25","dtw_basic",0.948941256139833
"300","D","5","180","0.25","dtw_basic",0.0025170801869831
